Sr. No.,Sector,Name Of Course,Online,Duration,Required Age,Minimum Education,Requisites,Language,Required Description,For Certification Advanced Module,Video Link To Embed,Project Under Hadp,Skill Training Course,Title Of Lectures,Link Kashmiri Video,Link Urdu Video,Link Dogri Video,Link Hindi Video,Course Language,Uploaded From,Uploaded Date
137,IT-ITeS,Python Essentials Part Two,Free,040:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"Its main goal is to teach you the skills related to the more advanced aspects of Python programming, including
modules, packages, exceptions, file processing, as well as general coding techniques and object-oriented
programming (OOP).",https://www.skillindiadigital.gov.in/courses/detail/cfb6af99-fbea-47d7-b79c-043258d74250,null,null,null,null,null,null,null,null,null,,null
138,IT-ITeS,Python Essentials Part One,Free,030:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"Python Essentials 1 was delveloped by the OpenEDG Python Institute, and is provided to all audiences to enhance,
develop, and support professional careers in Python programming and related technologies. The course covers the
basics of Python programming, as well as general computer programming concepts and techniques.",https://www.skillindiadigital.gov.in/courses/detail/ff161252-076a-4ebb-b872-7e3f352f9b96,null,null,null,null,null,null,null,null,null,,null
139,IT-ITeS, Endpoint Security,Free,027:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"Gain the foundational knowledge you will use in the workplace as a Cybersecurity Technician. Each day billions of devices are connected to the network, and each one needs to be protected. Build the skills to secure your network all the way to the edge, including hardware, software, and media.",https://www.skillindiadigital.gov.in/courses/detail/4e5c3690-203b-4f64-923c-5d6d70e74587,null,null,null,null,null,null,null,null,null,,null
140,IT-ITeS,English for IT Part Two,Free,050:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"The curriculum advances the MQS's English language knowledge and skills by focusing on five IT sectors: Product
Management, Network, Software, Security, and Customer Support. The titles and topics featured in the curriculum
consider the scope of the target audience, the previously mentioned prerequisites, and the areas of competency of
the MQS. ",https://www.skillindiadigital.gov.in/courses/detail/eb0e04e7-988b-4465-b56e-dff60b2e7476,null,null,null,null,null,null,null,null,null,,null
141,IT-ITeS,Python Programming for Artificial Intelligence,"Paid, Rs.10000",023:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"In this course, Learner will be able to understand the use cases of Python programming, Learner will understand the difference between C++ and Python programming language
Learner will get Introduction to Google colab
Learner will be able to understand different data types in python
Learner will be able the different comparison operators in Python programming language
Learner will be able to understand the conditional statements
A better technical understanding of conditional statements
Better un",https://www.skillindiadigital.gov.in/courses/detail/8452e69f-d93b-46d7-b845-b8bd5be21b99,null,null,null,null,null,null,null,null,null,,null
142,IT-ITeS,Programming Essentials in C Plus Plus,Free,070:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"As one of the most popular programming languages, C++ is hailed for its efficiency and its ease for developing games, real-time systems, and applications with graphical libraries. Take the course to learn the basics of programming in the C++ language, and the fundamental notions and techniques it uses. C++ knowledge lends itself well for landing jobs in Security, Networking and IoT fields.",https://www.skillindiadigital.gov.in/courses/detail/a026b472-5d84-4b1e-96e8-cf956fff04b3,null,null,null,null,null,null,null,null,null,,null
143,IT-ITeS,Networking Devices and Initial Configuration,Free,022:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"Networking Devices and Initial Configuration teaches intermediate knowledge and skills for networking by covering
basic concepts and skills needed to build a home office network and a small Cisco office network. The learner is
presented with an engaging and exploratory view of networks, the devices that comprise them, how they work, and
troubleshooting tools and techniques.",https://www.skillindiadigital.gov.in/courses/detail/fbf29488-ea73-4aa4-bd16-19958de1fadd,null,null,null,null,null,null,null,null,null,,null
144,IT-ITeS,Networking Basics,Free,022:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"This course covers the foundation of networking and network devices, media, and protocols. You will observe data flowing through a network and configure devices to connect to networks. Finally, you will learn how to use different network applications and protocols to accomplish networking tasks. The knowledge and skills you gain can give you a starting point to find a rewarding career in tech.",https://www.skillindiadigital.gov.in/courses/detail/34e7ac20-0a5e-46b7-825f-37c7011d1c45,null,null,null,null,null,null,null,null,null,,null
145,IT-ITeS,Network Support and Security,Free,012:00 hours,Above 18,"12th Pass, ITI, Diploma",ANY,English,"If you're interested in a career in IT, a support help desk role is a common starting point for entry-level network technicians. In this course, you will learn the basics of network and user support, which are essential for a successful career in networking.",https://www.skillindiadigital.gov.in/courses/detail/f670e555-0d4d-4dee-9d65-1204a7764d3d,null,null,null,null,null,null,null,null,null,,null
146,IT-ITeS,Introduction to IoT and Digital Transformation,Free,006:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"The course provides learners with an engaging, exploratory view of IoT and highlights how digital transformation
impacts organizations, businesses, governments, industries, and our daily lives. Learners explore fundamental IoT
concepts and understand the value of connecting everyday physical objects with IoT devices, their programming, big
data and analytics, automation, and security.",https://www.skillindiadigital.gov.in/courses/detail/136a78dd-7f60-47ae-9eae-e4b29d3334b6,null,null,null,null,null,null,null,null,null,,null
147,IT-ITeS,Get Connected,Free,030:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"The digital world is upon us both personally and professionally. Having a better understanding of the Internet, computers and social media can be a big help toward acquiring digital skills. And, once you have these skills there are many more possibilities opened to you as far as career advancement. Learn how to use a computer, connect devices and access search, email, and social media.",https://www.skillindiadigital.gov.in/courses/detail/a9f6e0ab-7847-4bdd-b151-e433d5cca214,null,null,null,null,null,null,null,null,null,,null
148,IT-ITeS,English for IT,Free,050:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"The curriculum advances the MQS's English language knowledge and skills by focusing on five IT sectors: Product
Management, Network, Software, Security, and Customer Support. The titles and topics featured in the curriculum
consider the scope of the target audience, the previously mentioned prerequisites, and the areas of competency of
the MQS.",https://www.skillindiadigital.gov.in/courses/detail/56ee2b6d-1bc8-456b-b0af-45f4f11ed1d6,null,null,null,null,null,null,null,null,null,,null
149,IT-ITeS,Engaging Stakeholders for Success,Free,003:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"In this course, students will develop workforce readiness skills and build a foundation for success. With the support
of video and rich interactive media, students learn, apply, and practice engaging stakeholders in meaningful ways
through a series of interactions that mimic real-world decisions. This course uses an immersive interactive activity to
enable your students to practice conversing with stakeholders to build trust.",https://www.skillindiadigital.gov.in/courses/detail/5bcc8159-6956-4134-9ffd-a4907124956c,null,null,null,null,null,null,null,null,null,,null
150,IT-ITeS,Discovering Entrepreneurship,Free,020:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"In this course, participants develop a working knowledge of key principles in entrepreneurship. With the support of
video and rich interactive media, participants learn, apply, and practice these concepts. This course uses immersive
interactive activities to enable participants to make decisions based on various scenarios and see how they play out.
Participants can navigate through the scenarios many times and experience different outcomes.",https://www.skillindiadigital.gov.in/courses/detail/78d46c49-f5e9-4251-8422-a041aad98077,null,null,null,null,null,null,null,null,null,,null
151,IT-ITeS, Google cloud Generative AI,Free,10:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"Introduction to Generative AI
Introduction to Large Language Models
Introduction to Responsible AI
Generative AI Fundamentals
Introduction to Image Generation
Encoder-Decoder Architecture
Attention Mechanism
Transformer Models and BERT Model
Create Image Captioning Models
Introduction to Generative AI Studio",https://www.skillindiadigital.gov.in/courses/detail/6fadc702-1217-475a-a056-c8fc43f6905c,null,null,null,null,null,null,null,null,null,,null
152,IT-ITeS, Python with Advanced AI,Free,07:00 hours,Any,Any,NA,Hindi,GUVI launches India's biggest skill development initiative: AI-for-India 2.0. Evolve your youthful mind with the latest AI skills & further bring yourself a better tech career in the near future,https://www.skillindiadigital.gov.in/courses/detail/eb56873d-a60a-4c71-affd-bca0a103b40e,null,null,null,null,null,null,null,null,null,,null
153,IT-ITeS, Python with Advanced AI,Free,07:00 hours,Any,Any,NA,English,GUVI launches India's biggest skill development initiative: AI-for-India 2.0. Evolve your youthful mind with the latest AI skills & further bring yourself a better tech career in the near future,https://www.skillindiadigital.gov.in/courses/detail/2a1f673c-97e7-4276-bcfe-6b9c2340fa33,null,null,null,null,null,null,null,null,null,,null
154,IT-ITeS, Microsoft Digital Literacy - Hindi,Free,10:00 hours,16+,Minimum 10th pass,NA,Hindi,"Learn how to gain digital literacy to use devices, software, and the Internet to collaborate with others and discover, use, and create information.",https://www.skillindiadigital.gov.in/courses/detail/870bb14b-f8b7-4227-bd9e-fdc8748949e6,null,null,null,null,null,null,null,null,null,,null
155,IT-ITeS, Cyber Threat Management,Free,016:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"Develop advanced knowledge that you will use in the workplace as a Cybersecurity Technician. This course explores governance in cybersecurity and threat management. Learn to develop policies and ensure your organization complies with ethics standards and legal and regulatory frameworks. You will also gain skills for managing threats, such as how to assess a network for vulnerabilities, manage risks, and respond to security incidents.",https://www.skillindiadigital.gov.in/courses/detail/d088e955-8a2a-4f42-a9ef-049adfc9d52e,null,null,null,null,null,null,null,null,null,,null
156,IT-ITeS,Test your computer Vision Skills Build your Own Object Detection Engine,Free,01:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"Fundamentals of Computer Vision
Hands-on session to build a Computer Vision based Object Detection engine
10 mins of theory via a video tutorial
35 mins of practical exercise
15 mins of assessment including a practical exercise",https://www.skillindiadigital.gov.in/courses/detail/7b62eceb-698f-47b0-84dd-ae28a6ed1bd2,null,null,null,null,null,null,null,null,null,,null
157,IT-ITeS,Operating System Basics,Free,012:00 hours,Above 18,"12th Pass, ITI, Diploma",NA,English,"Every smart device uses an operating system (OS) -- smart devices like personal computers, smartphones, game consoles, smart TVs, and the list continues. Whether the OS used is Windows, Linux, macOS, Android, or iOS, knowing how it works is a key digital skill you will need. Take this course to build your foundational knowledge for success in any IT career.",https://www.skillindiadigital.gov.in/courses/detail/3c4a333b-6a89-4b33-8941-516380923c71,null,null,null,null,null,null,null,null,null,,null
